fies_score,lat_dd_mod,lon_dd_mod,region,fies_average
4,11.294476,36.448728,Benshangul-Gumaz,2.4000001
3,9.986143,34.547639,Benshangul-Gumaz,2.4000001
0,11.397441,36.476428,Benshangul-Gumaz,2.4000001
5,10.223506,34.781987,Benshangul-Gumaz,2.4000001
2,10.223506,34.781987,Benshangul-Gumaz,2.4000001
1,9.882236000000001,34.719258,Benshangul-Gumaz,2.4000001
3,10.049191,34.665996,Benshangul-Gumaz,2.4000001
3,11.397441,36.476428,Benshangul-Gumaz,2.4000001
3,11.397441,36.476428,Benshangul-Gumaz,2.4000001
3,10.365244,34.618369,Benshangul-Gumaz,2.4000001
5,9.796132,34.797897,Benshangul-Gumaz,2.4000001
2,9.998628999999999,34.6076,Benshangul-Gumaz,2.4000001
2,10.365244,34.618369,Benshangul-Gumaz,2.4000001
2,10.365244,34.618369,Benshangul-Gumaz,2.4000001
1,9.882236000000001,34.719258,Benshangul-Gumaz,2.4000001
2,10.365244,34.618369,Benshangul-Gumaz,2.4000001
2,10.049191,34.665996,Benshangul-Gumaz,2.4000001
0,9.796132,34.797897,Benshangul-Gumaz,2.4000001
2,9.796132,34.797897,Benshangul-Gumaz,2.4000001
0,10.223506,34.781987,Benshangul-Gumaz,2.4000001
5,11.294476,36.448728,Benshangul-Gumaz,2.4000001
8,11.294476,36.448728,Benshangul-Gumaz,2.4000001
0,10.422215,34.857636,Benshangul-Gumaz,2.4000001
3,9.882236000000001,34.719258,Benshangul-Gumaz,2.4000001
0,10.049191,34.665996,Benshangul-Gumaz,2.4000001
6,9.882236000000001,34.719258,Benshangul-Gumaz,2.4000001
2,9.998628999999999,34.6076,Benshangul-Gumaz,2.4000001
2,9.998628999999999,34.6076,Benshangul-Gumaz,2.4000001
2,9.998628999999999,34.6076,Benshangul-Gumaz,2.4000001
5,11.294476,36.448728,Benshangul-Gumaz,2.4000001
6,11.397441,36.476428,Benshangul-Gumaz,2.4000001
3,9.796132,34.797897,Benshangul-Gumaz,2.4000001
2,10.049191,34.665996,Benshangul-Gumaz,2.4000001
2,10.049191,34.665996,Benshangul-Gumaz,2.4000001
5,10.365244,34.618369,Benshangul-Gumaz,2.4000001
2,9.998628999999999,34.6076,Benshangul-Gumaz,2.4000001
1,9.796132,34.797897,Benshangul-Gumaz,2.4000001
4,10.422215,34.857636,Benshangul-Gumaz,2.4000001
0,11.397441,36.476428,Benshangul-Gumaz,2.4000001
3,9.986143,34.547639,Benshangul-Gumaz,2.4000001
